"Источник трафика","Источник трафика (детально)","Поисковая система","Поисковая фраза","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Переходы из поисковых систем","Яндекс","Яндекс","с тгт бай","3","3","0.0","9.333333333333334","00:16:25"
"Переходы из поисковых систем","Яндекс","Яндекс","таблица размеров fn","3","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","фн спортивные товары тгт","3","1","0.33333333333333326","6.333333333333333","00:01:58"
"Переходы из поисковых систем","Яндекс","Яндекс","экипировочный центр минск дзержинского келми fn","3","1","0.0","1.6666666666666667","00:00:26"
"Переходы по ссылкам на сайтах","crm.amigo.by","Не определено","Не определено","2","1","0.0","2.5","00:00:25"
"Переходы по ссылкам на сайтах","cropas.amocrm.ru","Не определено","Не определено","2","1","0.0","1.0","00:00:15"
"Переходы по ссылкам на сайтах","docviewer.yandex.by","Не определено","Не определено","2","2","0.0","6.5","00:03:37"
"Переходы по ссылкам на сайтах","jira.mara.local","Не определено","Не определено","2","1","0.0","1.0","00:00:16"
"Переходы по ссылкам на сайтах","mkt.bitrix24.by","Не определено","Не определено","2","1","0.0","42.5","00:59:02"
"Переходы по ссылкам на сайтах","petalsearch.com","Не определено","Не определено","2","2","0.0","1.0","00:00:15"
"Переходы по ссылкам на сайтах","sport-tgt.by","Не определено","Не определено","2","2","0.0","5.5","00:04:44"
"Переходы из поисковых систем","DuckDuckGo","DuckDuckGo","Не определено","2","2","0.5","1.0","00:00:09"
"Переходы из поисковых систем","Яндекс","Яндекс","+375257977777","2","1","0.5","1.0","00:00:07"
"Переходы из поисковых систем","Яндекс","Яндекс","6107bb2002.000","2","1","0.5","1.0","00:00:09"
"Переходы из поисковых систем","Яндекс","Яндекс","6325tx2042-n00","2","1","0.0","2.0","00:09:11"
"Переходы из поисковых систем","Яндекс","Яндекс","8333yx5172-000","2","2","0.5","1.0","00:00:08"
"Переходы из поисковых систем","Яндекс","Яндекс","8451tx1178","2","1","0.5","1.5","00:00:50"
"Переходы из поисковых систем","Яндекс","Яндекс","9325lt1124-243","2","2","0.5","1.5","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","fn beast / fn5081001-000","2","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","fn футбольная форма","2","1","0.0","6.0","00:06:20"
"Переходы из поисковых систем","Яндекс","Яндекс","info@s-tgt.by","2","2","0.0","1.5","00:00:27"
"Переходы из поисковых систем","Яндекс","Яндекс","kfn4201001-000","2","1","0.0","16.0","00:06:11"
"Переходы из поисковых систем","Яндекс","Яндекс","s tg.by","2","1","0.0","7.0","00:04:58"
"Переходы из поисковых систем","Яндекс","Яндекс","s-tgt,by","2","1","0.0","2.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","stgt","2","2","0.0","3.0","00:00:29"
"Переходы из поисковых систем","Яндекс","Яндекс","stgt. by","2","2","0.0","3.5","00:01:17"
"Переходы из поисковых систем","Яндекс","Яндекс","tgt sport","2","2","0.0","1.5","00:01:51"
"Переходы из поисковых систем","Яндекс","Яндекс","баскетбольная форма kelme double-sided basketball uniform баскетбольная форма kelme double-sided basketball uniform баскетбольная форма kelme double-sided basketball uniform","2","1","0.0","11.0","00:08:26"
"Переходы из поисковых систем","Яндекс","Яндекс","баскетбольные кроссовки минск","2","2","0.0","2.5","00:00:37"
"Переходы из поисковых систем","Яндекс","Яндекс","бутсы футбольные купить в минске","2","2","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","ветровка surf купить в минске","2","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","вратарские перчатки купить в минске","2","2","0.5","1.0","00:00:07"
"Переходы из поисковых систем","Яндекс","Яндекс","вратарский лонгслив","2","1","0.0","1.5","00:01:16"
"Переходы из поисковых систем","Яндекс","Яндекс","закрытое акционерное общество ""тгт""","2","2","0.5","1.0","00:00:14"
"Переходы из поисковых систем","Яндекс","Яндекс","зао ""тгт"", г. минск, пр-т дзержинского, д. 90, пом. 427 дополнительная информа","2","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","кельме размерная сетка обуви","2","2","0.5","1.0","00:00:07"
"Переходы из поисковых систем","Яндекс","Яндекс","кроссовки для бадминтона купить","2","2","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","купить борцовки в минске","2","2","0.5","1.0","00:00:08"
"Переходы из поисковых систем","Яндекс","Яндекс","купить бутсы минск","2","2","0.0","1.5","00:01:32"
"Переходы из поисковых систем","Яндекс","Яндекс","купить ветровку мужскую в беларуси","2","2","0.5","1.0","00:00:07"
"Переходы из поисковых систем","Яндекс","Яндекс","купить гандбольные кроссовки минск","2","2","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить джоггеры мужские","2","2","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить джоггеры мужские в минске","2","2","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","купить длинный спортивный пуховик","2","1","0.0","2.0","00:00:41"
"Переходы из поисковых систем","Яндекс","Яндекс","купить легкоатлетическая форма для бега","2","1","0.0","3.0","00:10:31"
"Переходы из поисковых систем","Яндекс","Яндекс","купить легкоатлетическую форму","2","1","0.0","7.5","00:08:11"
"Переходы из поисковых систем","Яндекс","Яндекс","купить олимпийку мужскую","2","2","0.0","1.5","00:00:50"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футбольный кожаный мяч в минске","2","1","0.5","5.5","00:02:15"
"Переходы из поисковых систем","Яндекс","Яндекс","купить футзалки минске","2","1","0.0","8.0","00:22:44"
"Переходы из поисковых систем","Яндекс","Яндекс","нанесение номеров на спортивную форму","2","2","0.0","3.5","00:00:43"
"Переходы из поисковых систем","Яндекс","Яндекс","напечатать фамилию на футбольной форме","2","1","0.5","3.5","00:00:41"
"Переходы из поисковых систем","Яндекс","Яндекс","ооо тгт контакты","2","1","0.0","1.0","00:01:19"
"Переходы из поисковых систем","Яндекс","Яндекс","полуботинки (кроссовки) turf ground (tf) арт. fn5061003-000 купить","2","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","размер шапки fn","2","1","0.5","1.5","00:00:08"
"Переходы из поисковых систем","Яндекс","Яндекс","с-тгт","2","1","0.0","3.0","00:05:55"
"Переходы из поисковых систем","Яндекс","Яндекс","сайт t- спортивной одежды","2","1","0.0","15.5","00:11:00"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная форма fn в рб","2","1","0.0","3.0","00:01:32"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивная форма для легкой атлетики","2","1","0.0","2.5","00:01:05"
"Переходы из поисковых систем","Яндекс","Яндекс","спортивные товары в рб","2","1","0.5","1.5","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","тгт зао","2","2","0.5","2.5","00:00:42"
"Переходы из поисковых систем","Яндекс","Яндекс","форма легкоатлетическая (для девочек) купить","2","1","0.0","3.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма для мальчиков","2","2","0.0","1.5","00:00:30"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма для мальчиков с нанесением фамилии и номера купить в минске","2","1","0.0","2.5","00:01:01"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольная форма с фамилией и номером","2","1","0.5","11.5","00:05:36"
"Переходы из поисковых систем","Яндекс","Яндекс","футбольные магазины в минске","2","2","0.0","5.5","00:01:33"
"Переходы из поисковых систем","Яндекс","Яндекс","футзалки купить в минске недорого","2","2","0.0","1.0","00:00:26"
"Переходы из поисковых систем","Яндекс","Яндекс","шиповки для легкой атлетики купить","2","2","0.0","1.5","00:01:15"
"Переходы из поисковых систем","Яндекс","Яндекс","шорты вратарские футбольные kelme goalkeeper","2","1","0.5","1.5","00:00:23"
"Переходы из поисковых систем","Yahoo!","Yahoo!","Не определено","2","2","0.0","1.0","00:00:14"
"Переходы по ссылкам на сайтах","Не определено","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","app.sms.by","Не определено","Не определено","1","1","0.0","4.0","00:38:34"
"Переходы по ссылкам на сайтах","chatgpt.com","Не определено","Не определено","1","1","0.0","3.0","00:03:05"
"Переходы по ссылкам на сайтах","docs.google.com","Не определено","Не определено","1","1","0.0","2.0","00:00:47"
"Переходы по ссылкам на сайтах","googleadservices.com","Не определено","Не определено","1","1","0.0","1.0","00:00:12"
"Переходы по ссылкам на сайтах","mail.torpedo-belaz.by","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","search-dra.dt.dbankcloud.com","Не определено","Не определено","1","1","1.0","1.0","00:00:00"
"Переходы по ссылкам на сайтах","syndicatedsearch.goog","Не определено","Не определено","1","1","0.0","3.0","00:00:34"
"Переходы из поисковых систем","Ecosia","Ecosia","Не определено","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","$-tgt минск","1","1","0.0","1.0","00:00:27"
"Переходы из поисковых систем","Яндекс","Яндекс","+375173360577","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","12345 детский пуховик kelme children's long cotton clothes","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","1wt3075-416 артикул","1","1","0.0","1.0","00:00:19"
"Переходы из поисковых систем","Яндекс","Яндекс","3592056-405","1","1","0.0","1.0","00:00:27"
"Переходы из поисковых систем","Яндекс","Яндекс","3682006.100","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","36932012","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","3801098-400 kelme","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","3801241-416","1","1","0.0","1.0","00:00:20"
"Переходы из поисковых систем","Яндекс","Яндекс","3871301-918","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","3883018-103","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","3891373","1","1","0.0","3.0","00:00:24"
"Переходы из поисковых систем","Яндекс","Яндекс","5223yx5088-100","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","5321wt3022-m03","1","1","0.0","10.0","00:18:04"
"Переходы из поисковых систем","Яндекс","Яндекс","5323wt4013-b52","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6107bb5001.000","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6213tl1001","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6227tx2017-469","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6247wt1021","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","6313ck1015-b00","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6315xx1196-715","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6323tl2004","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6323yx1175","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6327wt2012-b50","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6333pl1001-n08","1","1","0.0","2.0","00:01:37"
"Переходы из поисковых систем","Яндекс","Яндекс","6333tx1006","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6333wt1036-n08","1","1","0.0","2.0","00:07:40"
"Переходы из поисковых систем","Яндекс","Яндекс","6343yx1330-000","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6344yr1036-b00 xl","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","6347mj1009-b00","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6347tx2002","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","6347wt1035-d00","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6347wt1040-b00","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6414wt1022-b00","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6417ck1011","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","6417tt2005-b51","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","66911227-000","1","1","1.0","1.0","00:00:08"
"Переходы из поисковых систем","Яндекс","Яндекс","66911227-000 kelme","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","7351tx1091-416","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","7351tx1091.416","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","7351tx3093-139","1","1","0.0","2.0","00:28:07"
"Переходы из поисковых систем","Яндекс","Яндекс","7351zb1129.104","1","1","0.0","1.0","00:00:22"
"Переходы из поисковых систем","Яндекс","Яндекс","7361wt1101-416","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","7361wt1101.416","1","1","0.0","2.0","00:04:45"
"Переходы из поисковых систем","Яндекс","Яндекс","7401wz5184","1","1","0.0","4.0","00:00:21"
"Переходы из поисковых систем","Яндекс","Яндекс","8061tt1007","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","8061tt1007.600","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8061wt1005-365","1","1","0.0","1.0","00:01:05"
"Переходы из поисковых систем","Яндекс","Яндекс","8101bb5011-000-uni","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8151tx3002-405","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","8151zb1004-240","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8161tt1004-416 kelme","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8161wt1006","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8161yr1003-600","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8201mz5012-401","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8251tx1006","1","1","0.0","1.0","00:00:14"
"Переходы из поисковых систем","Яндекс","Яндекс","8261tz2026-112","1","1","0.0","2.0","00:03:45"
"Переходы из поисковых систем","Яндекс","Яндекс","8261wj5005.000","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8301bb5041","1","1","0.0","2.0","00:01:54"
"Переходы из поисковых систем","Яндекс","Яндекс","8301qu5074-113","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8312zx1268 kelme china","1","1","0.0","3.0","00:15:45"
"Переходы из поисковых систем","Яндекс","Яндекс","8322zx1126-267 кельме","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8333yx5172 kelme","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8333yx5172 men's /women's sports shoes","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8333yx5172-061","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8351tl1024-000","1","1","0.0","1.0","00:00:17"
"Переходы из поисковых систем","Яндекс","Яндекс","8351tx1131-416","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8351zb1143-416","1","1","0.0","1.0","00:00:18"
"Переходы из поисковых систем","Яндекс","Яндекс","8351zb1196-609","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8351zb3196-300","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8352lb1029-100","1","1","1.0","1.0","00:00:12"
"Переходы из поисковых систем","Яндекс","Яндекс","8361tt1018-481","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8361tt1018.481","1","1","0.0","1.0","00:00:16"
"Переходы из поисковых систем","Яндекс","Яндекс","8361wt3062-416","1","1","0.0","1.0","00:00:15"
"Переходы из поисковых систем","Яндекс","Яндекс","8363wt1058-000","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8363wt1070","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8401wl5074","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8422zx1618","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8451bx1024-401","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8451tx1179","1","1","1.0","1.0","00:00:00"
"Переходы из поисковых систем","Яндекс","Яндекс","8451zb1247 цвет 405","1","1","0.0","1.0","00:00:22"
"Переходы из поисковых систем","Яндекс","Яндекс","8451zb1250","1","1","0.0","2.0","00:00:48"
"Переходы из поисковых систем","Яндекс","Яндекс","8451zb1250-000","1","1","0.0","3.0","00:01:53"
